country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,saturated_fatty_acids_policy,trans_fatty_acids_policy,population_2020,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,animal_products_fat_supply,vegetal_products_fat_supply,sugar_sweeteners_fat_supply,Risk_factor_obese_2018,Risk_factor_all-rf_2018
Afghanistan,65.7,98.1,103.8,31.2,41.5,3.2,91.1,10.7,Yes,No,No,No,No,38928.34,2459.23,4.79,21.33,17.3,30.45,37.07,55.9,0.0,1357.0,10941.33
Angola,119.7,308.8,37.8,11.6,57.6,38.0,65.8,16.8,Yes,No,No,Don't know,Don't know,32866.27,7647.41,7.17,25.51,14.16,29.88,29.29,68.42,0.0,1064.67,4260.0
Albania,138.9,129.1,40.2,12.3,31.2,18.3,404.9,61.6,Yes,No,No,No,No,2877.8,12657.3,20.21,55.94,1.44,29.45,60.58,34.75,0.0,749.0,3001.67
Andorra,,,,,,,,,No,No,No,No,No,,55834.76,25.06,63.1,1.07,19.61,0.0,0.0,0.0,,
United Arab Emirates,107.6,123.3,40.6,31.7,37.2,40.5,428.4,29.6,Yes,Yes,Yes,Yes,Yes,9890.4,66279.79,32.76,67.35,2.11,21.12,38.88,55.29,0.0,1085.83,2374.67
Argentina,94.0,123.8,3.6,1.6,10.8,11.6,519.1,86.7,Yes,Yes,Yes,Yes,Yes,45195.78,22992.22,26.9,61.5,0.97,23.3,57.4,38.72,0.0,10786.67,30078.5
Armenia,91.2,95.9,14.7,18.9,23.3,47.9,403.7,62.4,Yes,No,No,No,Yes,2963.23,11557.68,18.9,53.0,2.84,25.56,53.07,37.9,0.0,1030.83,4160.33
Antigua and Barbuda,95.5,232.1,43.5,2.5,14.3,46.5,223.8,36.3,No,No,No,No,No,97.93,19179.26,17.59,46.39,4.96,23.15,50.73,42.8,0.0,18.33,54.17
Australia,131.9,116.8,23.2,7.4,64.9,28.6,666.3,61.6,Yes,No,Yes,Yes,No,25499.88,49038.71,27.56,63.35,1.24,16.06,43.62,50.58,0.0,4862.67,13279.67
Austria,105.7,118.4,6.4,5.4,29.2,21.1,558.7,106.2,Yes,No,Yes,Yes,Yes,9006.4,53927.94,19.03,53.29,1.94,21.89,42.8,43.55,0.0,1972.83,8505.33
